DOR Code,Municipality,Year,Single Family Values,Single Family Parcels,Average Single Family Value ,Single Family Tax Bill*,Rank**
012,Ashby,2015,217011100.00 ,1088.00 ,199459.00 ,3925.00 ,213
012,Ashby,2016,218075800.00 ,1086.00 ,200806.00 ,4036.00 ,216
012,Ashby,2017,219609100.00 ,1090.00 ,201476.00 ,4197.00 ,
013,Ashfield,2009,146510500.00 ,602.00 ,243373.00 ,3159.00 ,223
013,Ashfield,2010,143837000.00 ,602.00 ,238932.00 ,3235.00 ,227
013,Ashfield,2011,143704400.00 ,598.00 ,240308.00 ,3350.00 ,229
013,Ashfield,2012,140583200.00 ,593.00 ,237071.00 ,3483.00 ,226
013,Ashfield,2013,142484000.00 ,599.00 ,237870.00 ,3589.00 ,225
013,Ashfield,2014,138643300.00 ,600.00 ,231072.00 ,3734.00 ,218
013,Ashfield,2015,142919100.00 ,602.00 ,237407.00 ,3791.00 ,225
013,Ashfield,2016,143395800.00 ,600.00 ,238993.00 ,3929.00 ,225
013,Ashfield,2017,152215100.00 ,603.00 ,252430.00 ,4094.00 ,
014,Ashland,2009,1456175900.00 ,3674.00 ,396346.00 ,5493.00 ,58
014,Ashland,2010,1377531800.00 ,3687.00 ,373619.00 ,5642.00 ,60
014,Ashland,2011,1349934900.00 ,3703.00 ,364552.00 ,5800.00 ,59
014,Ashland,2012,1335332500.00 ,3714.00 ,359540.00 ,5958.00 ,59
014,Ashland,2013,1330005200.00 ,3722.00 ,357336.00 ,6125.00 ,60
014,Ashland,2014,1363426900.00 ,3733.00 ,365236.00 ,6351.00 ,60
014,Ashland,2015,1420587500.00 ,3749.00 ,378924.00 ,6555.00 ,61
014,Ashland,2016,1502484700.00 ,3762.00 ,399385.00 ,6790.00 ,65
014,Ashland,2017,1585724800.00 ,3776.00 ,419948.00 ,7013.00 ,
015,Athol,2009,595073100.00 ,3384.00 ,175849.00 ,2017.00 ,324
015,Athol,2010,522932300.00 ,3393.00 ,154121.00 ,2050.00 ,323
015,Athol,2011,505127300.00 ,3399.00 ,148611.00 ,2101.00 ,327
015,Athol,2012,478277400.00 ,3404.00 ,140505.00 ,2161.00 ,328
015,Athol,2013,454943700.00 ,3404.00 ,133650.00 ,2069.00 ,331
015,Athol,2014,437174200.00 ,3396.00 ,128732.00 ,2373.00 ,326
015,Athol,2015,437091400.00 ,3393.00 ,128822.00 ,2451.00 ,323
015,Athol,2016,437815600.00 ,3390.00 ,129149.00 ,2561.00 ,322
015,Athol,2017,455897800.00 ,3362.00 ,135603.00 ,2766.00 ,
016,Attleboro,2009,2792835200.00 ,9243.00 ,302157.00 ,3049.00 ,241
016,Attleboro,2010,2617967300.00 ,9298.00 ,281562.00 ,3153.00 ,236
016,Attleboro,2011,2480372000.00 ,9354.00 ,265167.00 ,3235.00 ,238
016,Attleboro,2012,2433954700.00 ,9384.00 ,259373.00 ,3341.00 ,241
016,Attleboro,2013,2345083100.00 ,9419.00 ,248974.00 ,3456.00 ,240
016,Attleboro,2014,2273333100.00 ,9442.00 ,240768.00 ,3575.00 ,236
016,Attleboro,2015,2406072200.00 ,9485.00 ,253671.00 ,3732.00 ,234
016,Attleboro,2016,2477479000.00 ,9512.00 ,260458.00 ,3860.00 ,236
016,Attleboro,2017,2684651900.00 ,9581.00 ,280206.00 ,4077.00 ,
017,Auburn,2009,1268384200.00 ,4950.00 ,256239.00 ,3016.00 ,244
017,Auburn,2010,1116531600.00 ,4958.00 ,225198.00 ,3229.00 ,228
017,Auburn,2011,1106675100.00 ,4974.00 ,222492.00 ,3422.00 ,218
017,Auburn,2012,1099438200.00 ,4975.00 ,220993.00 ,3547.00 ,217
017,Auburn,2013,1088962700.00 ,4978.00 ,218755.00 ,3653.00 ,214
