JURISDICTIONCODE,NAME,YEAR,RESIDENTIAL,OPENSPACE,COMMERCIAL,INDUSTRIAL,PERSONALPROP,TOTAL,RO,CIP
013,Ashfield,2013,"3,074,613",0,"125,920","14,363","110,780","3,325,676",92.45,7.55
013,Ashfield,2014,"3,201,358",0,"135,391","15,393","133,136","3,485,278",91.85,8.15
013,Ashfield,2015,"3,257,377",0,"130,823","15,553","174,097","3,577,850",91.04,8.96
013,Ashfield,2016,"3,363,975",0,"135,415","16,010","185,484","3,700,884",90.90,9.10
014,Ashland,2009,"29,444,493","5,853","1,621,680","614,978","527,540","32,214,544",91.42,8.58
014,Ashland,2010,"30,300,762","4,852","1,686,157","635,156","601,286","33,228,213",91.20,8.80
014,Ashland,2011,"31,141,214","5,010","1,742,102","637,649","677,070","34,203,045",91.06,8.94
014,Ashland,2012,"31,979,376","5,218","1,807,273","643,824","746,453","35,182,144",90.91,9.09
014,Ashland,2013,"32,670,338","5,397","1,870,320","661,148","804,897","36,012,100",90.74,9.26
014,Ashland,2014,"33,750,990","5,476","1,914,613","656,554","866,559","37,194,192",90.76,9.24
014,Ashland,2015,"34,982,345","4,733","1,962,666","621,181","909,703","38,480,628",90.92,9.08
014,Ashland,2016,"36,276,915","4,848","2,237,213","610,371","858,484","39,987,831",90.73,9.27
015,Athol,2009,"8,378,969",0,"597,290","190,345","211,306","9,377,910",89.35,10.65
015,Athol,2010,"8,507,215",0,"677,786","203,032","246,527","9,634,560",88.30,11.70
015,Athol,2011,"8,740,593",0,"695,082","216,541","274,181","9,926,397",88.05,11.95
015,Athol,2012,"8,907,898",0,"746,779","241,558","297,355","10,193,590",87.39,12.61
015,Athol,2013,"8,534,594",0,"751,105","240,346","297,851","9,823,896",86.88,13.12
015,Athol,2014,"9,768,570",0,"881,133","258,207","438,275","11,346,185",86.10,13.90
015,Athol,2015,"10,076,689",0,"1,048,477","264,758","452,111","11,842,035",85.09,14.91
015,Athol,2016,"10,513,441",0,"1,122,047","275,888","477,522","12,388,898",84.86,15.14
016,Attleboro,2009,"38,547,814",0,"6,526,926","3,969,603","1,962,943","51,007,286",75.57,24.43
016,Attleboro,2010,"39,747,140",0,"6,805,701","4,176,850","2,160,011","52,889,702",75.15,24.85
016,Attleboro,2011,"40,491,512",0,"7,399,157","4,483,344","2,235,393","54,609,406",74.15,25.85
016,Attleboro,2012,"41,796,165",0,"7,908,400","4,592,453","2,358,614","56,655,632",73.77,26.23
016,Attleboro,2013,"43,259,875",0,"8,290,880","4,636,858","2,420,622","58,608,235",73.81,26.19
016,Attleboro,2014,"44,655,154",0,"8,613,157","4,748,207","2,486,767","60,503,285",73.81,26.19
016,Attleboro,2015,"46,715,662",0,"8,607,400","4,751,761","2,510,319","62,585,142",74.64,25.36
016,Attleboro,2016,"48,649,221",0,"8,716,217","4,670,066","2,618,255","64,653,759",75.25,24.75
017,Auburn,2009,"17,659,245",0,"8,518,619","3,464,812","1,300,470","30,943,146",57.07,42.93
017,Auburn,2010,"19,024,375",0,"8,166,816","3,381,287","1,281,786","31,854,264",59.72,40.28
017,Auburn,2011,"19,953,837",0,"8,028,448","3,377,177","1,383,195","32,742,657",60.94,39.06
017,Auburn,2012,"20,701,514",0,"7,882,420","3,365,654","1,440,545","33,390,133",62,38
017,Auburn,2013,"21,302,202",0,"7,676,895","3,327,529","1,525,322","33,831,948",62.96,37.04
017,Auburn,2014,"22,152,032",0,"8,070,361","3,257,028","1,354,960","34,834,381",63.59,36.41
017,Auburn,2015,"22,992,049",0,"8,009,258","3,265,453","1,481,540","35,748,300",64.32,35.68
017,Auburn,2016,"24,634,621",0,"8,629,608","3,439,734","1,770,692","38,474,655",64.03,35.97
018,Avon,2009,"4,878,679",0,"3,436,051","4,677,978","1,315,041","14,307,749",34.10,65.90
018,Avon,2010,"4,734,112",0,"3,298,618","4,802,927","1,314,833","14,150,490",33.46,66.54
018,Avon,2011,"5,013,742",0,"3,383,959","4,707,194","1,854,152","14,959,047",33.52,66.48
018,Avon,2012,"5,511,699",0,"3,694,464","5,092,742","2,032,777","16,331,682",33.75,66.25
